pair_id,prompt_id,lambda_cka,effective_lambda_cka,rho,objective,source_weight,alpha,beta,target_cka_mode,target_alignment_temperature,reference_count,status,proxy_hits,proxy_denominator,proxy_hit_mask,proxy_gate_type,proxy_free_check_applicable,free_generation_hits,target_hits,target_denominator,target_hit_mask,target_hits_among_proxy_hits,proxy_hit_target_denominator,tasr_percent,untargeted_hits,asr_percent,proxy_min_margin,proxy_min_probability,cka_adv_source,cka_adv_reference,reference_cka_gain,source_cka_drop,source_repulsion_achieved,target_attraction_achieved,grad_ml_l1,grad_cka_weighted_l1,grad_component_cosine,elapsed_seconds,error
P20,original,0.0,0.0,,classification_only,0.0,0.0,0.0,spatial_index_legacy,0.07,8,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,3,8,"[False, False, False, True, False, True, False, True]",3,8,37.5,6,75.0,3.9831464290618896,0.9691842794418335,0.37610530853271484,0.25612688064575195,-0.0041980743408203125,0.6238946914672852,,,0.0,0.0,0.0,435.7871928579989,
P20,original,1.0,5.520802974700928,0.3,original_cka_mid_1,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,7,8,"[False, True, True, True, True, True, True, True]",generative_strict,True,8,2,8,"[False, False, False, True, False, False, False, True]",2,7,25.0,6,75.0,2.4838991165161133,0.884686291217804,0.3386644124984741,0.42513421177864075,0.16480925679206848,0.6613355875015259,True,True,0.012588909827172756,0.003776672761887312,-0.2962784171104431,443.52277637500083,
P20,original,1.0,18.29488754272461,1.0,original_cka_mid_2,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,3,8,"[False, False, False, False, True, False, True, True]",generative_strict,True,8,1,8,"[False, False, False, True, False, False, False, False]",0,3,12.5,4,50.0,2.497004747390747,0.8437404036521912,0.32807910442352295,0.450173020362854,0.18984806537628174,0.671920895576477,True,True,0.01251517329365015,0.01251517329365015,-0.29433387517929077,442.2179641550174,
P20,original,1.0,0.5993123650550842,0.1,original_cka_mid_3,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,2,8,"[False, False, False, True, False, False, False, True]",2,8,25.0,6,75.0,3.3571836948394775,0.9389274716377258,0.3943955600261688,0.4056945741176605,0.14536961913108826,0.6056044101715088,True,True,0.012559858150780201,0.00125598581507802,-0.18668422102928162,444.70472660299856,
P21,original,0.0,0.0,,classification_only,0.0,0.0,0.0,spatial_index_legacy,0.07,8,complete,7,8,"[True, False, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,7,0.0,3,37.5,2.375,0.7200191020965576,0.5887261629104614,0.2742486596107483,-0.029470622539520264,0.4112738370895386,,,0.0,0.0,0.0,218.0291753669735,
P21,original,1.0,10.832858085632324,0.03,original_cka_mid_3,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,4,50.0,3.5458984375,0.9224825501441956,0.3637939691543579,0.44425398111343384,0.14053469896316528,0.6362060308456421,True,True,0.02798367105424404,0.0008395100594498217,0.10283581167459488,237.9842957620276,
P21,original,1.0,6.940865516662598,0.03,original_cka_mid_1,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,6,8,"[True, False, False, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,6,0.0,5,62.5,2.125,0.6209912896156311,0.45223864912986755,0.481291800737381,0.17757251858711243,0.5477613210678101,True,True,0.027986636385321617,0.0008395990007556975,0.06036153435707092,238.86671526398277,
P21,original,1.0,122.97584533691406,1.0,original_cka_mid_2,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,3,37.5,3.375,0.9209907054901123,0.440537691116333,0.5564281344413757,0.2527088522911072,0.559462308883667,True,True,0.02797960676252842,0.02797960676252842,0.020062483847141266,238.09722195501672,
P22,original,0.0,0.0,,classification_only,0.0,0.0,0.0,spatial_index_legacy,0.07,8,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,3,37.5,13.1875,0.9999966621398926,0.6434386968612671,0.36652398109436035,-0.030367612838745117,0.3565613031387329,,,0.0,0.0,0.0,530.7445204279502,
P22,original,1.0,12.837579727172852,0.03,original_cka_mid_3,1.0,2.0,0.0,spatial_index_legacy,0.07,8,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,4,50.0,4.868691921234131,0.9863307476043701,0.4698108434677124,0.5274577736854553,0.13056617975234985,0.5301891565322876,True,True,0.03797828033566475,0.0011393483728170395,0.054962947964668274,635.9180277049891,
P22,original,1.0,244.14369201660156,1.0,original_cka_mid_2,1.0,4.0,0.0,spatial_index_legacy,0.07,8,complete,7,8,"[True, False, True, True, True, True, True, True]",generative_strict,True,8,1,8,"[False, False, False, False, False, False, True, False]",1,7,12.5,1,12.5,2.625,0.8906570672988892,0.5259948968887329,0.605103611946106,0.2082120180130005,0.4740051031112671,True,True,0.03812647610902786,0.03812647610902786,0.050711750984191895,638.6130786970025,
P22,original,1.0,116.00422668457031,1.0,original_cka_mid_1,1.0,8.0,0.0,spatial_index_legacy,0.07,8,complete,8,8,"[True, True, True, True, True, True, True, True]",generative_strict,True,8,0,8,"[False, False, False, False, False, False, False, False]",0,8,0.0,2,25.0,3.125,0.9037564992904663,0.5798734426498413,0.6141132712364197,0.2172216773033142,0.4201265573501587,True,True,0.038058649748563766,0.038058649748563766,0.04171152040362358,629.0388958269614,
